feature,mean_abs_shap
is_night,0.6205272455528621
category,0.5362274204196027
amt_zscore,0.5142565492728095
job,0.4629329213016445
amt_mean_24h,0.4452573645875504
hour,0.4332131049639116
merchant,0.3745702477717955
time_since_prev,0.3619409948709068
merchant_txn_count,0.3137020878606677
night_ratio,0.27705919427513354
amt,0.2761648054406796
amt_6h,0.23485426281872315
amt_24h,0.2158327575460419
merchant_fraud_rate,0.20482128343857225
amt_1h,0.19904590706735287
txn_6h,0.17397203812928996
card_amt_mean,0.17333008476734374
amt_log,0.16831180815186997
city_pop,0.14213602906543638
amt_to_mean_ratio,0.1295571690709875
card_amt_zscore,0.12922702468184472
txn_24h,0.12658151605152376
age,0.1176018805470703
day_of_week,0.073946567665985
weekend_ratio,0.0680198259871478
card_dist_std,0.0671562261617605
card_amt_std,0.05789153687913827
txn_ratio_1h_24h,0.05538219296416507
card_dist_mean,0.050989869149440065
merch_lat,0.04401323501408738
merch_long,0.0427696102535057
distance_km,0.04134704686665183
gender,0.03836158124407643
city_pop_bucket,0.03736266013046616
cc_num,0.036584629575892445
long,0.036560494050535644
distance_anomaly,0.035656116000809764
lat,0.025788233793361863
amt_bucket,0.025704150880213064
is_weekend,0.02427885930732412
hour_bucket,0.02035497443870116
txn_1h,0.01627827839782352
day_of_week_bucket,0.007594050840567839
trans_num,0.0
amt_missing,0.0
lat_missing,0.0
merch_long_missing,0.0
merch_lat_missing,0.0
long_missing,0.0
txn_burst_flag,0.0
